periodo;indicador;barrio;valor
2025-Q2;ryh_autos;COLINAS DE PERALTA RAMOS;9
2025-Q2;ryh_autos;MALVINAS ARGENTINAS;8
2025-Q2;ryh_autos;EL PROGRESO;8
2025-Q2;ryh_autos;LOS PINARES;8
2025-Q2;ryh_autos;PRIMERA JUNTA;8
2025-Q2;ryh_autos;GENERAL BELGRANO;7
2025-Q2;ryh_autos;SAN CAYETANO;7
2025-Q2;ryh_autos;NUEVE DE JULIO;7
2025-Q2;ryh_autos;SAN JUAN;7
2025-Q2;ryh_autos;LOS ACANTILADOS;6
2025-Q2;ryh_autos;DEL PUERTO;6
2025-Q2;ryh_autos;LAS AVENIDAS;6
2025-Q2;ryh_autos;SARMIENTO DOMINGO FAUSTINO;6
2025-Q2;ryh_autos;LIBERTAD;6
2025-Q2;ryh_motos;AREA CENTRO;62
2025-Q2;ryh_motos;PERALTA RAMOS OESTE;31
2025-Q2;ryh_motos;SAN JOSE;31
2025-Q2;ryh_motos;BERNARDINO RIVADAVIA;29
2025-Q2;ryh_motos;DON BOSCO;28
2025-Q2;ryh_motos;LAS AVENIDAS;26
2025-Q2;ryh_motos;NUEVE DE JULIO;18
2025-Q2;ryh_motos;LA PERLA;18
2025-Q2;ryh_motos;PLAZA PERALTA RAMOS;16
2025-Q2;ryh_motos;VILLA PRIMERA;16
2025-Q2;ryh_motos;JOSE MANUEL ESTRADA;14
2025-Q2;ryh_motos;FARO NORTE;13
2025-Q2;ryh_motos;EL PROGRESO;13
2025-Q2;ryh_motos;ESTACION TERMINAL;13
2025-Q2;ryh_motos;GENERAL ROCA;13
2025-Q2;ryh_motos;MALVINAS ARGENTINAS;12
2025-Q2;ryh_motos;GENERAL SAN MARTIN;12
2025-Q2;ryh_motos;PUNTA MOGOTES;12
2025-Q2;ryh_motos;SAN CAYETANO;12
2025-Q2;ryh_motos;VILLA LOURDES;11
2025-Q2;ryh_motos;LIBERTAD;11
2025-Q2;ryh_motos;FORTUNATO DE LA PLAZA;11
2025-Q2;ryh_motos;PARQUE LURO;10
2025-Q2;ryh_motos;GENERAL PUEYRREDON;9
2025-Q2;ryh_motos;LAS LILAS;9
2025-Q2;ryh_motos;LOS PINARES;9
2025-Q2;ryh_motos;CONSTITUCION;9
2025-Q2;ryh_motos;SAN CARLOS;8
2025-Q2;ryh_motos;EL MARTILLO;8
2025-Q2;ryh_motos;COLINAS DE PERALTA RAMOS;8
2025-Q2;ryh_motos;LOS ANDES;8
2025-Q2;ryh_motos;DOMINGO F. SARMIENTO;8
2025-Q3;ryh_motos;AREA CENTRO;43
2025-Q3;ryh_motos;PERALTA RAMOS OESTE;35
2025-Q3;ryh_motos;FORTUNATO DE LA PLAZA;25
2025-Q3;ryh_motos;BERNARDINO RIVADAVIA;22
2025-Q3;ryh_motos;VILLA PRIMERA;20
2025-Q3;ryh_motos;MALVINAS ARGENTINAS;19
2025-Q3;ryh_motos;EL PROGRESO;19
2025-Q3;ryh_motos;LA PERLA;18
2025-Q3;ryh_motos;PLAZA PERALTA RAMOS;16
2025-Q3;ryh_motos;FARO NORTE;15
2025-Q3;ryh_motos;SAN JOSE;15
2025-Q3;ryh_motos;PUNTA MOGOTES;14
2025-Q3;ryh_motos;COLINAS DE PERALTA RAMOS;13
2025-Q3;ryh_motos;LAS AVENIDAS;12
2025-Q3;ryh_motos;LAS LILAS;12
2025-Q3;ryh_motos;CONSTITUCION;12
2025-Q3;ryh_motos;DON BOSCO;11
2025-Q3;ryh_motos;ALFAR;10
2025-Q3;ryh_motos;CORONEL DORREGO;10
2025-Q3;ryh_motos;SAN CAYETANO;10
2025-Q3;ryh_motos;DOMINGO F. SARMIENTO;10
2025-Q3;ryh_motos;LIBERTAD;10
2025-Q3;ryh_motos;JORGE NEWBERY;9
2025-Q3;ryh_motos;SAN CARLOS;9
2025-Q3;ryh_motos;GENERAL SAN MARTIN;9
2025-Q3;ryh_motos;NUEVE DE JULIO;9
2025-Q3;ryh_motos;PARQUE LURO;9
2025-Q3;ryh_motos;FLORENTINO AMEGHINO;9
2025-Q3;ryh_motos;JOSE MANUEL ESTRADA;9
2025-Q4;ryh_motos;AREA CENTRO;52
2025-Q4;ryh_motos;PERALTA RAMOS OESTE;28
2025-Q4;ryh_motos;SAN JOSE;28
2025-Q4;ryh_motos;LIBERTAD;27
2025-Q4;ryh_motos;DON BOSCO;24
2025-Q4;ryh_motos;MALVINAS ARGENTINAS;23
2025-Q4;ryh_motos;VILLA PRIMERA;23
2025-Q4;ryh_motos;RIVADAVIA BERNARDINO;20
2025-Q4;ryh_motos;LA PERLA;20
2025-Q4;ryh_motos;CORONEL DORREGO;18
2025-Q4;ryh_motos;NUEVE DE JULIO;16
2025-Q4;ryh_motos;AMEGHINO FLORENTINO;16
2025-Q4;ryh_motos;PUNTA MOGOTES;15
2025-Q4;ryh_motos;DE LA PLAZA FORTUNATO;14
2025-Q4;ryh_motos;SAN CAYETANO;13
2025-Q4;ryh_motos;CONSTITUCION;13
2025-Q4;ryh_motos;PARQUE LURO;12
2025-Q4;ryh_motos;ZACAGNINI JOSE MANUEL;12
2025-Q4;ryh_motos;FARO NORTE;11
2025-Q4;ryh_motos;LAS AVENIDAS;11
2025-Q4;ryh_motos;LAS LILAS;11
2025-Q4;ryh_motos;LOS PINARES;11
2025-Q4;ryh_motos;LOPEZ DE GOMARA;11
2025-Q4;ryh_motos;LAS AMERICAS;10
2025-Q4;ryh_motos;NEWBERY JORGE;9
2025-Q4;ryh_motos;PLAZA PERALTA RAMOS;9
2025-Q4;ryh_motos;GENERAL PUEYRREDON;9
2025-Q4;ryh_motos;DEL PUERTO;9
2026-Q1;ryh_motos;AREA CENTRO;62
2026-Q1;ryh_motos;LIBERTAD;34
2026-Q1;ryh_motos;BERNARDINO RIVADAVIA;26
2026-Q1;ryh_motos;MALVINAS ARGENTINAS;22
2026-Q1;ryh_motos;VILLA PRIMERA;21
2026-Q1;ryh_motos;NUEVE DE JULIO;17
2026-Q1;ryh_motos;DON BOSCO;16
2026-Q1;ryh_motos;CORONEL DORREGO;15
2026-Q1;ryh_motos;PERALTA RAMOS OESTE;15
2026-Q1;ryh_motos;FLORENTINO AMEGHINO;15
2026-Q1;ryh_motos;PUNTA MOGOTES;14
2026-Q1;ryh_motos;SAN JOSE;14
2026-Q1;ryh_motos;JORGE NEWBERY;13
2026-Q1;ryh_motos;LA PERLA;13
2026-Q1;ryh_motos;ALFAR;11
2026-Q1;ryh_motos;FARO NORTE;11
2026-Q1;ryh_motos;PLAZA PERALTA RAMOS;11
2026-Q1;ryh_motos;LAS AVENIDAS;11
2026-Q1;ryh_motos;SAN CAYETANO;11
2026-Q1;ryh_motos;LOS PINARES;10
2026-Q1;ryh_motos;CONSTITUCION;10
2026-Q1;ryh_motos;BELISARIO ROLDAN;9
2026-Q1;ryh_motos;DE LAS HERAS;9
2026-Q1;ryh_motos;LAS LILAS;9
2026-Q1;ryh_motos;LOS ANDES;9
2026-Q1;ryh_motos;BOSQUE PERALTA RAMOS;9
2026-Q1;ryh_motos;FORTUNATO DE LA PLAZA;9
